desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
0.4,0.0948,,8mm_base,grinded_table_salt,EWMA
0.4,0.1211,,8mm_base,grinded_table_salt,EWMA
0.4,0.1463,,8mm_base,grinded_table_salt,EWMA
0.4,0.1701,,8mm_base,grinded_table_salt,EWMA
0.4,0.1677,,8mm_base,grinded_table_salt,EWMA
0.4,0.1914,,8mm_base,grinded_table_salt,EWMA
0.4,0.2138,,8mm_base,grinded_table_salt,EWMA
0.4,0.1952,,8mm_base,grinded_table_salt,EWMA
0.4,0.2099,,8mm_base,grinded_table_salt,EWMA
0.4,0.1888,,8mm_base,grinded_table_salt,EWMA
0.4,0.2029,,8mm_base,grinded_table_salt,EWMA
0.4,0.2015,,8mm_base,grinded_table_salt,EWMA
0.4,0.1978,,8mm_base,grinded_table_salt,EWMA
0.4,0.1938,,8mm_base,grinded_table_salt,EWMA
0.4,0.2034,,8mm_base,grinded_table_salt,EWMA
0.4,0.2107,,8mm_base,grinded_table_salt,EWMA
0.4,0.1976,,8mm_base,grinded_table_salt,EWMA
0.4,0.2208,,8mm_base,grinded_table_salt,EWMA
0.4,0.2369,,8mm_base,grinded_table_salt,EWMA
0.4,0.2081,,8mm_base,grinded_table_salt,EWMA
0.4,0.2182,,8mm_base,grinded_table_salt,EWMA
0.4,0.2293,,8mm_base,grinded_table_salt,EWMA
0.4,0.2465,,8mm_base,grinded_table_salt,EWMA
0.4,0.2385,,8mm_base,grinded_table_salt,EWMA
0.4,0.239,,8mm_base,grinded_table_salt,EWMA
0.4,0.2387,,8mm_base,grinded_table_salt,EWMA
0.4,0.2393,,8mm_base,grinded_table_salt,EWMA
0.4,0.2608,,8mm_base,grinded_table_salt,EWMA
0.4,0.2534,,8mm_base,grinded_table_salt,EWMA
0.4,0.2553,,8mm_base,grinded_table_salt,EWMA
0.4,0.2564,,8mm_base,grinded_table_salt,EWMA
0.4,0.2757,,8mm_base,grinded_table_salt,EWMA
0.4,0.2616,,8mm_base,grinded_table_salt,EWMA
0.4,0.2722,,8mm_base,grinded_table_salt,EWMA
0.4,0.2694,,8mm_base,grinded_table_salt,EWMA
0.4,0.2538,,8mm_base,grinded_table_salt,EWMA
0.4,0.2943,,8mm_base,grinded_table_salt,EWMA
0.4,0.2637,,8mm_base,grinded_table_salt,EWMA
0.4,0.2834,,8mm_base,grinded_table_salt,EWMA
0.4,0.2898,,8mm_base,grinded_table_salt,EWMA
0.4,0.2616,,8mm_base,grinded_table_salt,EWMA
0.4,0.2984,,8mm_base,grinded_table_salt,EWMA
0.4,0.2962,,8mm_base,grinded_table_salt,EWMA
0.4,0.2849,,8mm_base,grinded_table_salt,EWMA
0.4,0.3259,,8mm_base,grinded_table_salt,EWMA
0.4,0.3026,,8mm_base,grinded_table_salt,EWMA
0.4,0.3414,,8mm_base,grinded_table_salt,EWMA
0.4,0.3088,,8mm_base,grinded_table_salt,EWMA
0.4,0.3236,,8mm_base,grinded_table_salt,EWMA
0.4,0.314,,8mm_base,grinded_table_salt,EWMA
0.4,0.3204,,8mm_base,grinded_table_salt,EWMA
0.4,0.3312,,8mm_base,grinded_table_salt,EWMA
0.4,0.3018,,8mm_base,grinded_table_salt,EWMA
0.4,0.3321,,8mm_base,grinded_table_salt,EWMA
0.4,0.3124,,8mm_base,grinded_table_salt,EWMA
0.4,0.3392,,8mm_base,grinded_table_salt,EWMA
0.4,0.3352,,8mm_base,grinded_table_salt,EWMA
0.4,0.3451,,8mm_base,grinded_table_salt,EWMA
0.4,0.3265,,8mm_base,grinded_table_salt,EWMA
0.4,0.3479,,8mm_base,grinded_table_salt,EWMA
0.4,0.3126,,8mm_base,grinded_table_salt,EWMA
0.4,0.3355,,8mm_base,grinded_table_salt,EWMA
0.4,0.3321,,8mm_base,grinded_table_salt,EWMA
0.4,0.3497,,8mm_base,grinded_table_salt,EWMA
0.4,0.3534,,8mm_base,grinded_table_salt,EWMA
0.4,0.3775,,8mm_base,grinded_table_salt,EWMA
0.4,0.3665,,8mm_base,grinded_table_salt,EWMA
0.4,0.3849,,8mm_base,grinded_table_salt,EWMA
0.4,0.3627,,8mm_base,grinded_table_salt,EWMA
0.4,0.3715,,8mm_base,grinded_table_salt,EWMA
0.4,0.3931,,8mm_base,grinded_table_salt,EWMA
0.4,0.408,,8mm_base,grinded_table_salt,EWMA
