desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
0.4,0.1062,,8mm_base,mortar_table_salt,EWMA
0.4,0.1296,,8mm_base,mortar_table_salt,EWMA
0.4,0.1476,,8mm_base,mortar_table_salt,EWMA
0.4,0.1857,,8mm_base,mortar_table_salt,EWMA
0.4,0.1715,,8mm_base,mortar_table_salt,EWMA
0.4,0.177,,8mm_base,mortar_table_salt,EWMA
0.4,0.1756,,8mm_base,mortar_table_salt,EWMA
0.4,0.1888,,8mm_base,mortar_table_salt,EWMA
0.4,0.1888,,8mm_base,mortar_table_salt,EWMA
0.4,0.1857,,8mm_base,mortar_table_salt,EWMA
0.4,0.1694,,8mm_base,mortar_table_salt,EWMA
0.4,0.2,,8mm_base,mortar_table_salt,EWMA
0.4,0.1983,,8mm_base,mortar_table_salt,EWMA
0.4,0.2113,,8mm_base,mortar_table_salt,EWMA
0.4,0.1929,,8mm_base,mortar_table_salt,EWMA
0.4,0.2148,,8mm_base,mortar_table_salt,EWMA
0.4,0.211,,8mm_base,mortar_table_salt,EWMA
0.4,0.2103,,8mm_base,mortar_table_salt,EWMA
0.4,0.1951,,8mm_base,mortar_table_salt,EWMA
0.4,0.2052,,8mm_base,mortar_table_salt,EWMA
0.4,0.2159,,8mm_base,mortar_table_salt,EWMA
0.4,0.2145,,8mm_base,mortar_table_salt,EWMA
0.4,0.2105,,8mm_base,mortar_table_salt,EWMA
0.4,0.2275,,8mm_base,mortar_table_salt,EWMA
0.4,0.2093,,8mm_base,mortar_table_salt,EWMA
0.4,0.2378,,8mm_base,mortar_table_salt,EWMA
0.4,0.2428,,8mm_base,mortar_table_salt,EWMA
0.4,0.245,,8mm_base,mortar_table_salt,EWMA
0.4,0.2204,,8mm_base,mortar_table_salt,EWMA
0.4,0.2548,,8mm_base,mortar_table_salt,EWMA
0.4,0.2218,,8mm_base,mortar_table_salt,EWMA
0.4,0.2494,,8mm_base,mortar_table_salt,EWMA
0.4,0.2468,,8mm_base,mortar_table_salt,EWMA
0.4,0.238,,8mm_base,mortar_table_salt,EWMA
0.4,0.2662,,8mm_base,mortar_table_salt,EWMA
0.4,0.2766,,8mm_base,mortar_table_salt,EWMA
0.4,0.2726,,8mm_base,mortar_table_salt,EWMA
0.4,0.2638,,8mm_base,mortar_table_salt,EWMA
0.4,0.2544,,8mm_base,mortar_table_salt,EWMA
0.4,0.2654,,8mm_base,mortar_table_salt,EWMA
0.4,0.27,,8mm_base,mortar_table_salt,EWMA
0.4,0.2763,,8mm_base,mortar_table_salt,EWMA
0.4,0.2618,,8mm_base,mortar_table_salt,EWMA
0.4,0.2945,,8mm_base,mortar_table_salt,EWMA
0.4,0.2713,,8mm_base,mortar_table_salt,EWMA
0.4,0.2782,,8mm_base,mortar_table_salt,EWMA
0.4,0.3221,,8mm_base,mortar_table_salt,EWMA
0.4,0.3071,,8mm_base,mortar_table_salt,EWMA
0.4,0.3185,,8mm_base,mortar_table_salt,EWMA
0.4,0.3071,,8mm_base,mortar_table_salt,EWMA
0.4,0.3081,,8mm_base,mortar_table_salt,EWMA
0.4,0.3228,,8mm_base,mortar_table_salt,EWMA
0.4,0.2925,,8mm_base,mortar_table_salt,EWMA
0.4,0.3004,,8mm_base,mortar_table_salt,EWMA
0.4,0.3345,,8mm_base,mortar_table_salt,EWMA
0.4,0.3386,,8mm_base,mortar_table_salt,EWMA
0.4,0.3218,,8mm_base,mortar_table_salt,EWMA
0.4,0.3334,,8mm_base,mortar_table_salt,EWMA
0.4,0.3483,,8mm_base,mortar_table_salt,EWMA
0.4,0.3323,,8mm_base,mortar_table_salt,EWMA
0.4,0.3427,,8mm_base,mortar_table_salt,EWMA
0.4,0.3463,,8mm_base,mortar_table_salt,EWMA
0.4,0.3587,,8mm_base,mortar_table_salt,EWMA
0.4,0.3571,,8mm_base,mortar_table_salt,EWMA
0.4,0.342,,8mm_base,mortar_table_salt,EWMA
0.4,0.3795,,8mm_base,mortar_table_salt,EWMA
0.4,0.3706,,8mm_base,mortar_table_salt,EWMA
0.4,0.378,,8mm_base,mortar_table_salt,EWMA
0.4,0.3596,,8mm_base,mortar_table_salt,EWMA
0.4,0.3323,,8mm_base,mortar_table_salt,EWMA
0.4,0.3637,,8mm_base,mortar_table_salt,EWMA
0.4,0.3789,,8mm_base,mortar_table_salt,EWMA
0.4,0.3479,,8mm_base,mortar_table_salt,EWMA
0.4,0.3779,,8mm_base,mortar_table_salt,EWMA
0.4,0.3591,,8mm_base,mortar_table_salt,EWMA
0.4,0.3986,,8mm_base,mortar_table_salt,EWMA
0.4,0.3802,,8mm_base,mortar_table_salt,EWMA
0.4,0.3995,,8mm_base,mortar_table_salt,EWMA
0.4,0.3981,,8mm_base,mortar_table_salt,EWMA
0.4,0.417,,8mm_base,mortar_table_salt,EWMA
