desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
0.475,0.3087,,8mm_base,mortar_table_salt,EWMA
0.475,0.444017786,,8mm_base,mortar_table_salt,EWMA
0.475,0.448418088,,8mm_base,mortar_table_salt,EWMA
0.475,0.450301981,,8mm_base,mortar_table_salt,EWMA
0.475,0.463894695,,8mm_base,mortar_table_salt,EWMA
0.475,0.465712316,,8mm_base,mortar_table_salt,EWMA
0.475,0.459895519,,8mm_base,mortar_table_salt,EWMA
0.475,0.465821425,,8mm_base,mortar_table_salt,EWMA
0.475,0.459716505,,8mm_base,mortar_table_salt,EWMA
0.475,0.464202315,,8mm_base,mortar_table_salt,EWMA
0.475,0.459936278,,8mm_base,mortar_table_salt,EWMA
0.475,0.463150253,,8mm_base,mortar_table_salt,EWMA
0.475,0.469715758,,8mm_base,mortar_table_salt,EWMA
0.475,0.469853476,,8mm_base,mortar_table_salt,EWMA
0.475,0.460459633,,8mm_base,mortar_table_salt,EWMA
0.475,0.463938191,,8mm_base,mortar_table_salt,EWMA
0.475,0.467432267,,8mm_base,mortar_table_salt,EWMA
0.475,0.470350669,,8mm_base,mortar_table_salt,EWMA
0.475,0.472351235,,8mm_base,mortar_table_salt,EWMA
0.475,0.470086296,,8mm_base,mortar_table_salt,EWMA
0.475,0.471773454,,8mm_base,mortar_table_salt,EWMA
0.475,0.469633788,,8mm_base,mortar_table_salt,EWMA
0.475,0.473756256,,8mm_base,mortar_table_salt,EWMA
0.475,0.473276122,,8mm_base,mortar_table_salt,EWMA
0.475,0.47278521,,8mm_base,mortar_table_salt,EWMA
0.475,0.4761427,,8mm_base,mortar_table_salt,EWMA
