desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
0.475,0.2978,,8mm_base,grinded_table_salt,EWMA
0.475,0.448134077,,8mm_base,grinded_table_salt,EWMA
0.475,0.451240395,,8mm_base,grinded_table_salt,EWMA
0.475,0.459929987,,8mm_base,grinded_table_salt,EWMA
0.475,0.458756286,,8mm_base,grinded_table_salt,EWMA
0.475,0.460139597,,8mm_base,grinded_table_salt,EWMA
0.475,0.460817991,,8mm_base,grinded_table_salt,EWMA
0.475,0.461975525,,8mm_base,grinded_table_salt,EWMA
0.475,0.465124353,,8mm_base,grinded_table_salt,EWMA
0.475,0.466287424,,8mm_base,grinded_table_salt,EWMA
0.475,0.46559273,,8mm_base,grinded_table_salt,EWMA
0.475,0.466186604,,8mm_base,grinded_table_salt,EWMA
0.475,0.468498887,,8mm_base,grinded_table_salt,EWMA
0.475,0.46849753,,8mm_base,grinded_table_salt,EWMA
0.475,0.468929198,,8mm_base,grinded_table_salt,EWMA
0.475,0.469011425,,8mm_base,grinded_table_salt,EWMA
0.475,0.469098251,,8mm_base,grinded_table_salt,EWMA
0.475,0.47276948,,8mm_base,grinded_table_salt,EWMA
0.475,0.473796908,,8mm_base,grinded_table_salt,EWMA
0.475,0.475147,,8mm_base,grinded_table_salt,EWMA
