desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
0.475,0.3214,,8mm_base,storebought_table_salt,EWMA
0.475,0.4246,,8mm_base,storebought_table_salt,EWMA
0.475,0.4462,,8mm_base,storebought_table_salt,EWMA
0.475,0.4658,,8mm_base,storebought_table_salt,EWMA
0.475,0.468,,8mm_base,storebought_table_salt,EWMA
0.475,0.4624,,8mm_base,storebought_table_salt,EWMA
0.475,0.4509,,8mm_base,storebought_table_salt,EWMA
0.475,0.4533,,8mm_base,storebought_table_salt,EWMA
0.475,0.4672,,8mm_base,storebought_table_salt,EWMA
0.475,0.4713,,8mm_base,storebought_table_salt,EWMA
0.475,0.4643,,8mm_base,storebought_table_salt,EWMA
0.475,0.4605,,8mm_base,storebought_table_salt,EWMA
0.475,0.4565,,8mm_base,storebought_table_salt,EWMA
0.475,0.4665,,8mm_base,storebought_table_salt,EWMA
0.475,0.4527,,8mm_base,storebought_table_salt,EWMA
0.475,0.4697,,8mm_base,storebought_table_salt,EWMA
0.475,0.4655,,8mm_base,storebought_table_salt,EWMA
0.475,0.4718,,8mm_base,storebought_table_salt,EWMA
0.475,0.4698,,8mm_base,storebought_table_salt,EWMA
0.475,0.4642,,8mm_base,storebought_table_salt,EWMA
0.475,0.4617,,8mm_base,storebought_table_salt,EWMA
0.475,0.4649,,8mm_base,storebought_table_salt,EWMA
0.475,0.4638,,8mm_base,storebought_table_salt,EWMA
0.475,0.4712,,8mm_base,storebought_table_salt,EWMA
0.475,0.4659,,8mm_base,storebought_table_salt,EWMA
0.475,0.4661,,8mm_base,storebought_table_salt,EWMA
0.475,0.4677,,8mm_base,storebought_table_salt,EWMA
0.475,0.4659,,8mm_base,storebought_table_salt,EWMA
0.475,0.4598,,8mm_base,storebought_table_salt,EWMA
0.475,0.4625,,8mm_base,storebought_table_salt,EWMA
0.475,0.4698,,8mm_base,storebought_table_salt,EWMA
0.475,0.4682,,8mm_base,storebought_table_salt,EWMA
0.475,0.4606,,8mm_base,storebought_table_salt,EWMA
0.475,0.4602,,8mm_base,storebought_table_salt,EWMA
0.475,0.4471,,8mm_base,storebought_table_salt,EWMA
0.475,0.4625,,8mm_base,storebought_table_salt,EWMA
0.475,0.4681,,8mm_base,storebought_table_salt,EWMA
0.475,0.4674,,8mm_base,storebought_table_salt,EWMA
0.475,0.4708,,8mm_base,storebought_table_salt,EWMA
0.475,0.4767,,8mm_base,storebought_table_salt,EWMA
