desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
0.353,0.079911571,,8mm_base,mortar_table_salt,EWMA
0.353,0.099425468,,8mm_base,mortar_table_salt,EWMA
0.353,0.108055622,,8mm_base,mortar_table_salt,EWMA
0.353,0.108217011,,8mm_base,mortar_table_salt,EWMA
0.353,0.117925913,,8mm_base,mortar_table_salt,EWMA
0.353,0.117388839,,8mm_base,mortar_table_salt,EWMA
0.353,0.120685331,,8mm_base,mortar_table_salt,EWMA
0.353,0.131471122,,8mm_base,mortar_table_salt,EWMA
0.353,0.135068978,,8mm_base,mortar_table_salt,EWMA
0.353,0.132175052,,8mm_base,mortar_table_salt,EWMA
0.353,0.149978321,,8mm_base,mortar_table_salt,EWMA
0.353,0.143592494,,8mm_base,mortar_table_salt,EWMA
0.353,0.151711226,,8mm_base,mortar_table_salt,EWMA
0.353,0.162323557,,8mm_base,mortar_table_salt,EWMA
0.353,0.163339447,,8mm_base,mortar_table_salt,EWMA
0.353,0.166522968,,8mm_base,mortar_table_salt,EWMA
0.353,0.167066337,,8mm_base,mortar_table_salt,EWMA
0.353,0.166953368,,8mm_base,mortar_table_salt,EWMA
0.353,0.182839279,,8mm_base,mortar_table_salt,EWMA
0.353,0.184998171,,8mm_base,mortar_table_salt,EWMA
0.353,0.177815648,,8mm_base,mortar_table_salt,EWMA
0.353,0.185599867,,8mm_base,mortar_table_salt,EWMA
0.353,0.193234485,,8mm_base,mortar_table_salt,EWMA
0.353,0.199152484,,8mm_base,mortar_table_salt,EWMA
0.353,0.211809236,,8mm_base,mortar_table_salt,EWMA
0.353,0.21131058,,8mm_base,mortar_table_salt,EWMA
0.353,0.213756621,,8mm_base,mortar_table_salt,EWMA
0.353,0.217060693,,8mm_base,mortar_table_salt,EWMA
0.353,0.233235104,,8mm_base,mortar_table_salt,EWMA
0.353,0.223265226,,8mm_base,mortar_table_salt,EWMA
0.353,0.236560673,,8mm_base,mortar_table_salt,EWMA
0.353,0.211791813,,8mm_base,mortar_table_salt,EWMA
0.353,0.235514051,,8mm_base,mortar_table_salt,EWMA
0.353,0.229477091,,8mm_base,mortar_table_salt,EWMA
0.353,0.24752914,,8mm_base,mortar_table_salt,EWMA
0.353,0.250035475,,8mm_base,mortar_table_salt,EWMA
0.353,0.242025596,,8mm_base,mortar_table_salt,EWMA
0.353,0.249971012,,8mm_base,mortar_table_salt,EWMA
0.353,0.246959487,,8mm_base,mortar_table_salt,EWMA
0.353,0.248990306,,8mm_base,mortar_table_salt,EWMA
0.353,0.243976447,,8mm_base,mortar_table_salt,EWMA
0.353,0.23752937,,8mm_base,mortar_table_salt,EWMA
0.353,0.244763885,,8mm_base,mortar_table_salt,EWMA
0.353,0.249657689,,8mm_base,mortar_table_salt,EWMA
0.353,0.25319554,,8mm_base,mortar_table_salt,EWMA
0.353,0.252990026,,8mm_base,mortar_table_salt,EWMA
0.353,0.244340435,,8mm_base,mortar_table_salt,EWMA
0.353,0.250008063,,8mm_base,mortar_table_salt,EWMA
0.353,0.24917489,,8mm_base,mortar_table_salt,EWMA
0.353,0.251855966,,8mm_base,mortar_table_salt,EWMA
0.353,0.242463561,,8mm_base,mortar_table_salt,EWMA
0.353,0.245624005,,8mm_base,mortar_table_salt,EWMA
0.353,0.25336725,,8mm_base,mortar_table_salt,EWMA
0.353,0.249059721,,8mm_base,mortar_table_salt,EWMA
0.353,0.256148764,,8mm_base,mortar_table_salt,EWMA
0.353,0.252969668,,8mm_base,mortar_table_salt,EWMA
0.353,0.252940339,,8mm_base,mortar_table_salt,EWMA
0.353,0.256564126,,8mm_base,mortar_table_salt,EWMA
0.353,0.252249583,,8mm_base,mortar_table_salt,EWMA
0.353,0.248477806,,8mm_base,mortar_table_salt,EWMA
0.353,0.249674807,,8mm_base,mortar_table_salt,EWMA
0.353,0.250585037,,8mm_base,mortar_table_salt,EWMA
0.353,0.249703299,,8mm_base,mortar_table_salt,EWMA
0.353,0.255719538,,8mm_base,mortar_table_salt,EWMA
0.353,0.255589664,,8mm_base,mortar_table_salt,EWMA
0.353,0.254901766,,8mm_base,mortar_table_salt,EWMA
0.353,0.257331491,,8mm_base,mortar_table_salt,EWMA
0.353,0.255257231,,8mm_base,mortar_table_salt,EWMA
0.353,0.261258037,,8mm_base,mortar_table_salt,EWMA
0.353,0.253367773,,8mm_base,mortar_table_salt,EWMA
0.353,0.255190387,,8mm_base,mortar_table_salt,EWMA
