desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
0.353,0.0801,,8mm_base,storebought_table_salt,EWMA
0.353,0.0999,,8mm_base,storebought_table_salt,EWMA
0.353,0.1047,,8mm_base,storebought_table_salt,EWMA
0.353,0.1122,,8mm_base,storebought_table_salt,EWMA
0.353,0.1176,,8mm_base,storebought_table_salt,EWMA
0.353,0.1195,,8mm_base,storebought_table_salt,EWMA
0.353,0.1231,,8mm_base,storebought_table_salt,EWMA
0.353,0.1292,,8mm_base,storebought_table_salt,EWMA
0.353,0.1329,,8mm_base,storebought_table_salt,EWMA
0.353,0.1344,,8mm_base,storebought_table_salt,EWMA
0.353,0.1491,,8mm_base,storebought_table_salt,EWMA
0.353,0.1472,,8mm_base,storebought_table_salt,EWMA
0.353,0.1518,,8mm_base,storebought_table_salt,EWMA
0.353,0.1579,,8mm_base,storebought_table_salt,EWMA
0.353,0.1642,,8mm_base,storebought_table_salt,EWMA
0.353,0.165,,8mm_base,storebought_table_salt,EWMA
0.353,0.166,,8mm_base,storebought_table_salt,EWMA
0.353,0.1697,,8mm_base,storebought_table_salt,EWMA
0.353,0.1803,,8mm_base,storebought_table_salt,EWMA
0.353,0.1842,,8mm_base,storebought_table_salt,EWMA
0.353,0.1783,,8mm_base,storebought_table_salt,EWMA
0.353,0.1879,,8mm_base,storebought_table_salt,EWMA
0.353,0.1929,,8mm_base,storebought_table_salt,EWMA
0.353,0.2007,,8mm_base,storebought_table_salt,EWMA
0.353,0.2093,,8mm_base,storebought_table_salt,EWMA
0.353,0.2131,,8mm_base,storebought_table_salt,EWMA
0.353,0.2164,,8mm_base,storebought_table_salt,EWMA
0.353,0.2134,,8mm_base,storebought_table_salt,EWMA
0.353,0.2271,,8mm_base,storebought_table_salt,EWMA
0.353,0.223,,8mm_base,storebought_table_salt,EWMA
0.353,0.2344,,8mm_base,storebought_table_salt,EWMA
0.353,0.2303,,8mm_base,storebought_table_salt,EWMA
0.353,0.2296,,8mm_base,storebought_table_salt,EWMA
0.353,0.2544,,8mm_base,storebought_table_salt,EWMA
0.353,0.2516,,8mm_base,storebought_table_salt,EWMA
0.353,0.2457,,8mm_base,storebought_table_salt,EWMA
0.353,0.2437,,8mm_base,storebought_table_salt,EWMA
0.353,0.2485,,8mm_base,storebought_table_salt,EWMA
0.353,0.2501,,8mm_base,storebought_table_salt,EWMA
0.353,0.2468,,8mm_base,storebought_table_salt,EWMA
0.353,0.245,,8mm_base,storebought_table_salt,EWMA
0.353,0.2375,,8mm_base,storebought_table_salt,EWMA
0.353,0.2461,,8mm_base,storebought_table_salt,EWMA
0.353,0.2501,,8mm_base,storebought_table_salt,EWMA
0.353,0.2519,,8mm_base,storebought_table_salt,EWMA
0.353,0.2543,,8mm_base,storebought_table_salt,EWMA
0.353,0.2473,,8mm_base,storebought_table_salt,EWMA
0.353,0.2542,,8mm_base,storebought_table_salt,EWMA
0.353,0.2501,,8mm_base,storebought_table_salt,EWMA
0.353,0.2551,,8mm_base,storebought_table_salt,EWMA
0.353,0.2413,,8mm_base,storebought_table_salt,EWMA
0.353,0.2452,,8mm_base,storebought_table_salt,EWMA
0.353,0.2509,,8mm_base,storebought_table_salt,EWMA
0.353,0.252,,8mm_base,storebought_table_salt,EWMA
0.353,0.2565,,8mm_base,storebought_table_salt,EWMA
0.353,0.2522,,8mm_base,storebought_table_salt,EWMA
0.353,0.2523,,8mm_base,storebought_table_salt,EWMA
0.353,0.2545,,8mm_base,storebought_table_salt,EWMA
0.353,0.2503,,8mm_base,storebought_table_salt,EWMA
0.353,0.2512,,8mm_base,storebought_table_salt,EWMA
0.353,0.25,,8mm_base,storebought_table_salt,EWMA
0.353,0.2498,,8mm_base,storebought_table_salt,EWMA
0.353,0.2516,,8mm_base,storebought_table_salt,EWMA
0.353,0.2528,,8mm_base,storebought_table_salt,EWMA
0.353,0.2559,,8mm_base,storebought_table_salt,EWMA
0.353,0.2573,,8mm_base,storebought_table_salt,EWMA
0.353,0.2583,,8mm_base,storebought_table_salt,EWMA
0.353,0.2564,,8mm_base,storebought_table_salt,EWMA
0.353,0.2671,,8mm_base,storebought_table_salt,EWMA
0.353,0.2549,,8mm_base,storebought_table_salt,EWMA
0.353,0.2588,,8mm_base,storebought_table_salt,EWMA
0.353,0.2623,,8mm_base,storebought_table_salt,EWMA
0.353,0.2656,,8mm_base,storebought_table_salt,EWMA
0.353,0.2618,,8mm_base,storebought_table_salt,EWMA
0.353,0.2691,,8mm_base,storebought_table_salt,EWMA
0.353,0.266,,8mm_base,storebought_table_salt,EWMA
0.353,0.2638,,8mm_base,storebought_table_salt,EWMA
0.353,0.2638,,8mm_base,storebought_table_salt,EWMA
0.353,0.2637,,8mm_base,storebought_table_salt,EWMA
0.353,0.2596,,8mm_base,storebought_table_salt,EWMA
0.353,0.2619,,8mm_base,storebought_table_salt,EWMA
0.353,0.2715,,8mm_base,storebought_table_salt,EWMA
0.353,0.272,,8mm_base,storebought_table_salt,EWMA
0.353,0.2663,,8mm_base,storebought_table_salt,EWMA
0.353,0.2715,,8mm_base,storebought_table_salt,EWMA
0.353,0.2706,,8mm_base,storebought_table_salt,EWMA
0.353,0.2669,,8mm_base,storebought_table_salt,EWMA
0.353,0.2713,,8mm_base,storebought_table_salt,EWMA
0.353,0.2651,,8mm_base,storebought_table_salt,EWMA
0.353,0.2595,,8mm_base,storebought_table_salt,EWMA
0.353,0.261,,8mm_base,storebought_table_salt,EWMA
0.353,0.2756,,8mm_base,storebought_table_salt,EWMA
0.353,0.2755,,8mm_base,storebought_table_salt,EWMA
0.353,0.2639,,8mm_base,storebought_table_salt,EWMA
0.353,0.281,,8mm_base,storebought_table_salt,EWMA
0.353,0.2711,,8mm_base,storebought_table_salt,EWMA
0.353,0.2695,,8mm_base,storebought_table_salt,EWMA
0.353,0.271,,8mm_base,storebought_table_salt,EWMA
0.353,0.2726,,8mm_base,storebought_table_salt,EWMA
0.353,0.2698,,8mm_base,storebought_table_salt,EWMA
0.353,0.2706,,8mm_base,storebought_table_salt,EWMA
0.353,0.2682,,8mm_base,storebought_table_salt,EWMA
0.353,0.267,,8mm_base,storebought_table_salt,EWMA
0.353,0.2695,,8mm_base,storebought_table_salt,EWMA
0.353,0.2637,,8mm_base,storebought_table_salt,EWMA
0.353,0.2755,,8mm_base,storebought_table_salt,EWMA
0.353,0.2726,,8mm_base,storebought_table_salt,EWMA
0.353,0.2725,,8mm_base,storebought_table_salt,EWMA
0.353,0.2757,,8mm_base,storebought_table_salt,EWMA
0.353,0.2733,,8mm_base,storebought_table_salt,EWMA
0.353,0.2737,,8mm_base,storebought_table_salt,EWMA
0.353,0.2738,,8mm_base,storebought_table_salt,EWMA
0.353,0.2719,,8mm_base,storebought_table_salt,EWMA
0.353,0.2667,,8mm_base,storebought_table_salt,EWMA
0.353,0.2692,,8mm_base,storebought_table_salt,EWMA
0.353,0.2783,,8mm_base,storebought_table_salt,EWMA
0.353,0.2735,,8mm_base,storebought_table_salt,EWMA
0.353,0.2755,,8mm_base,storebought_table_salt,EWMA
0.353,0.2762,,8mm_base,storebought_table_salt,EWMA
0.353,0.2802,,8mm_base,storebought_table_salt,EWMA
0.353,0.2719,,8mm_base,storebought_table_salt,EWMA
0.353,0.2751,,8mm_base,storebought_table_salt,EWMA
0.353,0.2719,,8mm_base,storebought_table_salt,EWMA
0.353,0.2752,,8mm_base,storebought_table_salt,EWMA
0.353,0.2737,,8mm_base,storebought_table_salt,EWMA
0.353,0.2709,,8mm_base,storebought_table_salt,EWMA
0.353,0.274,,8mm_base,storebought_table_salt,EWMA
0.353,0.2823,,8mm_base,storebought_table_salt,EWMA
0.353,0.2774,,8mm_base,storebought_table_salt,EWMA
0.353,0.2785,,8mm_base,storebought_table_salt,EWMA
0.353,0.2823,,8mm_base,storebought_table_salt,EWMA
0.353,0.2803,,8mm_base,storebought_table_salt,EWMA
0.353,0.2835,,8mm_base,storebought_table_salt,EWMA
0.353,0.2844,,8mm_base,storebought_table_salt,EWMA
0.353,0.2756,,8mm_base,storebought_table_salt,EWMA
0.353,0.2837,,8mm_base,storebought_table_salt,EWMA
0.353,0.2871,,8mm_base,storebought_table_salt,EWMA
0.353,0.2843,,8mm_base,storebought_table_salt,EWMA
0.353,0.282,,8mm_base,storebought_table_salt,EWMA
0.353,0.2842,,8mm_base,storebought_table_salt,EWMA
0.353,0.2842,,8mm_base,storebought_table_salt,EWMA
0.353,0.2808,,8mm_base,storebought_table_salt,EWMA
0.353,0.2864,,8mm_base,storebought_table_salt,EWMA
0.353,0.2818,,8mm_base,storebought_table_salt,EWMA
0.353,0.2846,,8mm_base,storebought_table_salt,EWMA
0.353,0.2824,,8mm_base,storebought_table_salt,EWMA
0.353,0.2891,,8mm_base,storebought_table_salt,EWMA
0.353,0.2896,,8mm_base,storebought_table_salt,EWMA
0.353,0.2912,,8mm_base,storebought_table_salt,EWMA
0.353,0.2881,,8mm_base,storebought_table_salt,EWMA
0.353,0.2912,,8mm_base,storebought_table_salt,EWMA
0.353,0.2895,,8mm_base,storebought_table_salt,EWMA
0.353,0.2895,,8mm_base,storebought_table_salt,EWMA
0.353,0.2896,,8mm_base,storebought_table_salt,EWMA
0.353,0.2931,,8mm_base,storebought_table_salt,EWMA
0.353,0.2882,,8mm_base,storebought_table_salt,EWMA
0.353,0.2872,,8mm_base,storebought_table_salt,EWMA
0.353,0.298,,8mm_base,storebought_table_salt,EWMA
0.353,0.2908,,8mm_base,storebought_table_salt,EWMA
0.353,0.3007,,8mm_base,storebought_table_salt,EWMA
0.353,0.3004,,8mm_base,storebought_table_salt,EWMA
0.353,0.3103,,8mm_base,storebought_table_salt,EWMA
0.353,0.318,,8mm_base,storebought_table_salt,EWMA
0.353,0.3145,,8mm_base,storebought_table_salt,EWMA
0.353,0.3129,,8mm_base,storebought_table_salt,EWMA
0.353,0.3291,,8mm_base,storebought_table_salt,EWMA
0.353,0.3241,,8mm_base,storebought_table_salt,EWMA
0.353,0.3263,,8mm_base,storebought_table_salt,EWMA
0.353,0.3294,,8mm_base,storebought_table_salt,EWMA
0.353,0.3282,,8mm_base,storebought_table_salt,EWMA
0.353,0.3325,,8mm_base,storebought_table_salt,EWMA
0.353,0.3316,,8mm_base,storebought_table_salt,EWMA
0.353,0.3349,,8mm_base,storebought_table_salt,EWMA
0.353,0.3357,,8mm_base,storebought_table_salt,EWMA
0.353,0.3345,,8mm_base,storebought_table_salt,EWMA
0.353,0.3365,,8mm_base,storebought_table_salt,EWMA
0.353,0.3378,,8mm_base,storebought_table_salt,EWMA
0.353,0.3379,,8mm_base,storebought_table_salt,EWMA
0.353,0.3382,,8mm_base,storebought_table_salt,EWMA
0.353,0.336,,8mm_base,storebought_table_salt,EWMA
0.353,0.3393,,8mm_base,storebought_table_salt,EWMA
0.353,0.3404,,8mm_base,storebought_table_salt,EWMA
0.353,0.3397,,8mm_base,storebought_table_salt,EWMA
0.353,0.3421,,8mm_base,storebought_table_salt,EWMA
0.353,0.3405,,8mm_base,storebought_table_salt,EWMA
0.353,0.3445,,8mm_base,storebought_table_salt,EWMA
0.353,0.3487,,8mm_base,storebought_table_salt,EWMA
0.353,0.3536,,8mm_base,storebought_table_salt,EWMA
