desired_amount,measured_amount,# of steps,auger_type,powder_type,filter_type
3.53,0.0839,,8mm_base,grinded_table_salt,EWMA
3.53,0.0983,,8mm_base,grinded_table_salt,EWMA
3.53,0.0974,,8mm_base,grinded_table_salt,EWMA
3.53,0.1092,,8mm_base,grinded_table_salt,EWMA
3.53,0.1229,,8mm_base,grinded_table_salt,EWMA
3.53,0.1221,,8mm_base,grinded_table_salt,EWMA
3.53,0.1255,,8mm_base,grinded_table_salt,EWMA
3.53,0.1292,,8mm_base,grinded_table_salt,EWMA
3.53,0.1357,,8mm_base,grinded_table_salt,EWMA
3.53,0.1431,,8mm_base,grinded_table_salt,EWMA
3.53,0.1501,,8mm_base,grinded_table_salt,EWMA
3.53,0.1447,,8mm_base,grinded_table_salt,EWMA
3.53,0.161,,8mm_base,grinded_table_salt,EWMA
3.53,0.1651,,8mm_base,grinded_table_salt,EWMA
3.53,0.1596,,8mm_base,grinded_table_salt,EWMA
3.53,0.1639,,8mm_base,grinded_table_salt,EWMA
3.53,0.1696,,8mm_base,grinded_table_salt,EWMA
3.53,0.1667,,8mm_base,grinded_table_salt,EWMA
3.53,0.1752,,8mm_base,grinded_table_salt,EWMA
3.53,0.1842,,8mm_base,grinded_table_salt,EWMA
3.53,0.1734,,8mm_base,grinded_table_salt,EWMA
3.53,0.1936,,8mm_base,grinded_table_salt,EWMA
3.53,0.1967,,8mm_base,grinded_table_salt,EWMA
3.53,0.1959,,8mm_base,grinded_table_salt,EWMA
3.53,0.2182,,8mm_base,grinded_table_salt,EWMA
3.53,0.2186,,8mm_base,grinded_table_salt,EWMA
3.53,0.2213,,8mm_base,grinded_table_salt,EWMA
3.53,0.2049,,8mm_base,grinded_table_salt,EWMA
3.53,0.2228,,8mm_base,grinded_table_salt,EWMA
3.53,0.2125,,8mm_base,grinded_table_salt,EWMA
3.53,0.2379,,8mm_base,grinded_table_salt,EWMA
3.53,0.219,,8mm_base,grinded_table_salt,EWMA
3.53,0.2488,,8mm_base,grinded_table_salt,EWMA
3.53,0.2349,,8mm_base,grinded_table_salt,EWMA
3.53,0.2511,,8mm_base,grinded_table_salt,EWMA
3.53,0.2394,,8mm_base,grinded_table_salt,EWMA
3.53,0.2481,,8mm_base,grinded_table_salt,EWMA
3.53,0.2555,,8mm_base,grinded_table_salt,EWMA
3.53,0.2469,,8mm_base,grinded_table_salt,EWMA
3.53,0.2522,,8mm_base,grinded_table_salt,EWMA
3.53,0.2522,,8mm_base,grinded_table_salt,EWMA
3.53,0.2459,,8mm_base,grinded_table_salt,EWMA
3.53,0.256,,8mm_base,grinded_table_salt,EWMA
3.53,0.2511,,8mm_base,grinded_table_salt,EWMA
3.53,0.249,,8mm_base,grinded_table_salt,EWMA
3.53,0.2558,,8mm_base,grinded_table_salt,EWMA
3.53,0.2421,,8mm_base,grinded_table_salt,EWMA
3.53,0.2621,,8mm_base,grinded_table_salt,EWMA
3.53,0.2488,,8mm_base,grinded_table_salt,EWMA
3.53,0.2607,,8mm_base,grinded_table_salt,EWMA
3.53,0.2363,,8mm_base,grinded_table_salt,EWMA
3.53,0.239,,8mm_base,grinded_table_salt,EWMA
3.53,0.2445,,8mm_base,grinded_table_salt,EWMA
3.53,0.2476,,8mm_base,grinded_table_salt,EWMA
3.53,0.2631,,8mm_base,grinded_table_salt,EWMA
3.53,0.2547,,8mm_base,grinded_table_salt,EWMA
3.53,0.254,,8mm_base,grinded_table_salt,EWMA
3.53,0.2498,,8mm_base,grinded_table_salt,EWMA
3.53,0.2479,,8mm_base,grinded_table_salt,EWMA
3.53,0.2456,,8mm_base,grinded_table_salt,EWMA
3.53,0.2559,,8mm_base,grinded_table_salt,EWMA
3.53,0.2426,,8mm_base,grinded_table_salt,EWMA
3.53,0.2524,,8mm_base,grinded_table_salt,EWMA
3.53,0.2615,,8mm_base,grinded_table_salt,EWMA
3.53,0.2566,,8mm_base,grinded_table_salt,EWMA
3.53,0.2585,,8mm_base,grinded_table_salt,EWMA
3.53,0.2514,,8mm_base,grinded_table_salt,EWMA
3.53,0.2547,,8mm_base,grinded_table_salt,EWMA
3.53,0.2505,,8mm_base,grinded_table_salt,EWMA
3.53,0.2545,,8mm_base,grinded_table_salt,EWMA
3.53,0.2558,,8mm_base,grinded_table_salt,EWMA
3.53,0.2501,,8mm_base,grinded_table_salt,EWMA
3.53,0.2494,,8mm_base,grinded_table_salt,EWMA
3.53,0.2547,,8mm_base,grinded_table_salt,EWMA
3.53,0.2538,,8mm_base,grinded_table_salt,EWMA
3.53,0.2502,,8mm_base,grinded_table_salt,EWMA
3.53,0.2608,,8mm_base,grinded_table_salt,EWMA
3.53,0.253,,8mm_base,grinded_table_salt,EWMA
3.53,0.2567,,8mm_base,grinded_table_salt,EWMA
3.53,0.258,,8mm_base,grinded_table_salt,EWMA
3.53,0.2585,,8mm_base,grinded_table_salt,EWMA
3.53,0.2612,,8mm_base,grinded_table_salt,EWMA
3.53,0.2484,,8mm_base,grinded_table_salt,EWMA
3.53,0.2623,,8mm_base,grinded_table_salt,EWMA
3.53,0.2568,,8mm_base,grinded_table_salt,EWMA
3.53,0.2565,,8mm_base,grinded_table_salt,EWMA
3.53,0.2576,,8mm_base,grinded_table_salt,EWMA
3.53,0.2512,,8mm_base,grinded_table_salt,EWMA
3.53,0.2568,,8mm_base,grinded_table_salt,EWMA
3.53,0.2503,,8mm_base,grinded_table_salt,EWMA
3.53,0.2659,,8mm_base,grinded_table_salt,EWMA
3.53,0.2593,,8mm_base,grinded_table_salt,EWMA
3.53,0.2567,,8mm_base,grinded_table_salt,EWMA
3.53,0.2584,,8mm_base,grinded_table_salt,EWMA
3.53,0.2505,,8mm_base,grinded_table_salt,EWMA
3.53,0.273,,8mm_base,grinded_table_salt,EWMA
3.53,0.255,,8mm_base,grinded_table_salt,EWMA
3.53,0.2667,,8mm_base,grinded_table_salt,EWMA
3.53,0.2562,,8mm_base,grinded_table_salt,EWMA
3.53,0.2668,,8mm_base,grinded_table_salt,EWMA
3.53,0.2732,,8mm_base,grinded_table_salt,EWMA
3.53,0.266,,8mm_base,grinded_table_salt,EWMA
3.53,0.2586,,8mm_base,grinded_table_salt,EWMA
3.53,0.2691,,8mm_base,grinded_table_salt,EWMA
3.53,0.2739,,8mm_base,grinded_table_salt,EWMA
3.53,0.2757,,8mm_base,grinded_table_salt,EWMA
3.53,0.2644,,8mm_base,grinded_table_salt,EWMA
3.53,0.2711,,8mm_base,grinded_table_salt,EWMA
3.53,0.2698,,8mm_base,grinded_table_salt,EWMA
3.53,0.2742,,8mm_base,grinded_table_salt,EWMA
3.53,0.2754,,8mm_base,grinded_table_salt,EWMA
3.53,0.2608,,8mm_base,grinded_table_salt,EWMA
3.53,0.2594,,8mm_base,grinded_table_salt,EWMA
3.53,0.2655,,8mm_base,grinded_table_salt,EWMA
3.53,0.2681,,8mm_base,grinded_table_salt,EWMA
3.53,0.268,,8mm_base,grinded_table_salt,EWMA
3.53,0.2596,,8mm_base,grinded_table_salt,EWMA
3.53,0.2827,,8mm_base,grinded_table_salt,EWMA
3.53,0.2718,,8mm_base,grinded_table_salt,EWMA
3.53,0.2717,,8mm_base,grinded_table_salt,EWMA
3.53,0.2703,,8mm_base,grinded_table_salt,EWMA
3.53,0.2781,,8mm_base,grinded_table_salt,EWMA
3.53,0.2536,,8mm_base,grinded_table_salt,EWMA
3.53,0.2713,,8mm_base,grinded_table_salt,EWMA
3.53,0.2763,,8mm_base,grinded_table_salt,EWMA
3.53,0.2502,,8mm_base,grinded_table_salt,EWMA
3.53,0.259,,8mm_base,grinded_table_salt,EWMA
3.53,0.2651,,8mm_base,grinded_table_salt,EWMA
